Compound,log kp (cm/s),MW,LogP,HBD,HBA,LogS,TPSA,MV,,,,,,,,,
Methanol,-5.539,32.042,-0.519,1,1,1.111,"	20.23",37.21,,,,,,,,,
Ethanol,-6.699,46.069,-0.162,1,1,0.77,20.23,54.02,,,,,,,,,
1-Propanol,-7.352,60.096,0.361,1,1,0.341,20.23,70.82,,,,,,,,,
1-Butanol,-7.778,74.123,0.805,1,1,-0.21,20.23,87.62,,,,,,,,,
1-Pentanol,-7.849,88.15,1.25,1,1,-0.758,20.23,104.42,,,,,,,,,
1-Hexanol,-7.84,102.177,1.694,1,1,-1.303,20.23,121.22,,,,,,,,,
1-Heptanol,-8.158,116.204,2.139,1,1,-1.844,20.23,138.03,,,,,,,,,
1-Octanol,-8.556,130.231,2.584,1,1,-2.383,20.23,154.83,,,,,,,,,
1-Nonanol,-9.079,144.258,3.028,1,1,-2.918,20.23,171.63,,,,,,,,,
1-Decanol,-9.653,158.285,3.473,1,1,-3.451,"	20.23",188.43,,,,,,,,,
